QueryNumber;DocRanking;DocNumber;Similarity
1;1;437;0.02131478646732547
1;2;52;0.02817880433140875
1;3;568;0.022474540129556474
1;4;533;0.0
1;5;302;0.030270105154803544
1;6;311;0.02754951877733251
1;7;392;0.07263748344724552
1;8;499;0.023329394045149342
1;9;827;0.0
1;10;957;0.016190543840142024
1;11;439;0.015720103089811754
1;12;11;0.023763266366771594
1;13;461;0.014194178061079076
1;14;950;0.013654086759047534
1;15;856;0.020035752032596516
1;16;1180;0.036915253170759825
1;17;1026;0.02105359839956278
1;18;754;0.019958533425220474
1;19;189;0.019764949833192144
1;20;441;0.01727404153267614
1;21;398;0.013441777591922192
1;22;1188;0.018365646812915585
1;23;711;0.02873839237839588
1;24;151;0.028036230607676127
1;25;958;0.013847273795954088
1;26;96;0.010764027978350334
1;27;875;0.010831675818957468
1;28;523;0.030707201932813254
1;29;730;0.057352492539642204
1;30;742;0.03617212190339124
1;31;960;0.023599320543144255
1;32;636;0.009710004800925319
1;33;810;0.022034590530549517
1;34;850;0.016866486829762162
1;35;741;0.01664403963513869
1;36;497;0.021919173157493053
1;37;496;0.023597406506245963
1;38;27;0.009143010481925224
1;39;789;0.0
1;40;531;0.0
1;41;1107;0.020876391473946102
1;42;502;0.051957229462608064
1;43;914;0.021253202789672975
1;44;265;0.022692082076555736
1;45;481;0.0
1;46;246;0.020447904884918617
1;47;266;0.016973706198296006
1;48;287;0.02070670957974633
1;49;967;0.00836270404045612
1;50;1042;0.020485127028339597
1;51;758;0.02480272376682961
1;52;147;0.019566712580799218
1;53;1201;0.019376506316227414
1;54;526;0.014381819767098241
1;55;288;0.02384150906141969
1;56;1102;0.008174547578236279
1;57;527;0.05363581685396807
1;58;1168;0.02373026616060625
1;59;451;0.02096569203744019
1;60;511;0.0
1;61;1055;0.008090197865037058
1;62;106;0.023534509620241336
1;63;53;0.008066450328005964
1;64;459;0.0496910412114974
1;65;529;0.014123431283770261
1;66;1145;0.015323527270353859
1;67;982;0.05707000826835471
1;68;766;0.022512570764363783
1;69;157;0.0
1;70;690;0.014944922624896417
1;71;1064;0.0
1;72;1215;0.009676038391771927
1;73;846;0.0
1;74;847;0.036099189005778076
1;75;43;0.02204733988306047
1;76;582;0.007190182532850244
1;77;510;0.03605734960907254
1;78;867;0.018791768135648444
1;79;1185;0.012649102465097732
1;80;107;0.021076007236369442
1;81;1199;0.02107355512630963
1;82;171;0.0
1;83;166;0.007944294957516406
1;84;538;0.020679819329994246
1;85;386;0.02061430359769048
1;86;878;0.015803829351415756
1;87;277;0.0
1;88;352;0.0070940430587396585
1;89;478;0.007746224171171353
1;90;970;0.009077594874955745
1;91;658;0.05056898168472605
1;92;28;0.0
1;93;962;0.020258213393046363
1;94;1234;0.03599981475726754
1;95;552;0.03765198600174447
1;96;596;0.03528812207480181
1;97;767;0.019581229574023726
1;98;122;0.011969312439114118
1;99;317;0.006726328382928496
1;100;975;0.013002077265768443
2;1;980;0.0
2;2;754;0.019958533425220474
2;3;459;0.0496910412114974
2;4;498;0.0
2;5;733;0.03877561769915875
2;6;1197;0.032542259534967914
2;7;159;0.04185108330171365
2;8;1;0.008184824387299098
2;9;592;0.028943209746319986
2;10;590;0.009236567854941815
2;11;1211;0.019563918478307317
2;12;189;0.019764949833192144
2;13;769;0.0074889163430994655
2;14;133;0.0
2;15;265;0.022692082076555736
2;16;160;0.008712947478025397
2;17;437;0.02131478646732547
2;18;1080;0.0
2;19;271;0.00844805833688404
2;20;137;0.020124022528943637
2;21;1173;0.01846317812734169
2;22;682;0.03812176396936289
2;23;297;0.0427760399061516
2;24;711;0.02873839237839588
2;25;80;0.008665370740550543
2;26;1078;0.030930053196914147
2;27;41;0.0
2;28;761;0.0
2;29;6;0.006231779923654725
2;30;1170;0.019985355331923717
2;31;107;0.021076007236369442
2;32;614;0.02772035917192147
2;33;478;0.007746224171171353
2;34;1238;0.012853888715293624
2;35;1137;0.028438706670539732
2;36;915;0.030346244844688272
2;37;179;0.028489482606478805
2;38;417;0.0
2;39;767;0.019581229574023726
2;40;598;0.008248631698667469
2;41;1145;0.015323527270353859
2;42;571;0.013420957779691019
2;43;25;0.03726755267235386
2;44;325;0.005200749053801324
2;45;499;0.023329394045149342
2;46;333;0.01967965475169488
2;47;187;0.025556975583392875
2;48;912;0.053342492006455924
2;49;439;0.015720103089811754
2;50;511;0.0
2;51;1125;0.015402723842388059
2;52;568;0.022474540129556474
2;53;300;0.0
2;54;969;0.01839529094498499
2;55;556;0.007487144321013068
2;56;589;0.02273250329907345
2;57;177;0.008758346903191303
2;58;1192;0.014849181158391189
2;59;1135;0.024350276883371564
2;60;176;0.00674045182246962
2;61;666;0.0
2;62;11;0.023763266366771594
2;63;345;0.0
2;64;301;0.011888872565082252
2;65;95;0.027255695510282056
2;66;225;0.03235670983974529
2;67;7;0.00617613647195062
2;68;31;0.020015493824763708
2;69;17;0.0
2;70;135;0.029388151973991992
2;71;758;0.02480272376682961
2;72;1019;0.05560122496960973
2;73;905;0.024438592730838177
2;74;863;0.01010337923394809
2;75;690;0.014944922624896417
2;76;1071;0.03028581518120424
2;77;956;0.014131894115478336
2;78;776;0.009983886875356987
2;79;910;0.0
2;80;441;0.01727404153267614
2;81;768;0.0
2;82;555;0.007389978785765359
2;83;1215;0.009676038391771927
2;84;1091;0.045576011226842766
2;85;810;0.022034590530549517
2;86;882;0.03250098229810307
2;87;427;0.09027082677815466
2;88;982;0.05707000826835471
2;89;151;0.028036230607676127
2;90;56;0.0
2;91;1079;0.0
2;92;778;0.006876762602647072
2;93;505;0.005221160142971471
2;94;523;0.030707201932813254
2;95;302;0.030270105154803544
2;96;531;0.0
2;97;243;0.02134839466637085
2;98;457;0.0071364725327389324
2;99;914;0.021253202789672975
2;100;958;0.013847273795954088
3;1;633;0.026915804824807793
3;2;356;0.0
3;3;1206;0.0204061807307062
3;4;1161;0.04324553604876465
3;5;1196;0.0
3;6;1209;0.018508971091543484
3;7;715;0.009819940428425643
3;8;959;0.02546312590196417
3;9;150;0.0209417137674805
3;10;137;0.020124022528943637
3;11;958;0.013847273795954088
3;12;497;0.021919173157493053
3;13;1165;0.021620260495947886
3;14;32;0.0
3;15;851;0.012331252764494639
3;16;496;0.023597406506245963
3;17;28;0.0
3;18;904;0.02840890761498359
3;19;805;0.007312672901744492
3;20;2;0.0
3;21;850;0.016866486829762162
3;22;311;0.02754951877733251
3;23;1137;0.028438706670539732
3;24;1064;0.0
3;25;553;0.011279277409094533
3;26;151;0.028036230607676127
3;27;852;0.026508026961652158
3;28;462;0.006006056019792496
3;29;77;0.005874791034090594
3;30;803;0.0068862699847709015
3;31;1238;0.012853888715293624
3;32;218;0.03251977755478757
3;33;901;0.026404923306703233
3;34;269;0.02500431909724584
3;35;685;0.025896851226682352
3;36;317;0.006726328382928496
3;37;1175;0.020039392195862225
3;38;856;0.020035752032596516
3;39;602;0.02473296830624011
3;40;187;0.025556975583392875
3;41;1197;0.032542259534967914
3;42;1050;0.030869421092962875
3;43;288;0.02384150906141969
3;44;1237;0.012163058261641246
3;45;692;0.01369515940460192
3;46;466;0.024671178349615863
3;47;505;0.005221160142971471
3;48;702;0.005153523870445773
3;49;584;0.023317479538713885
3;50;1058;0.01016360915815767
3;51;853;0.017062355779589613
3;52;766;0.022512570764363783
3;53;55;0.01829639591124536
3;54;401;0.02241075733989971
3;55;302;0.030270105154803544
3;56;1099;0.018282537982526794
3;57;1076;0.022712976007776203
3;58;1100;0.0
3;59;320;0.05149270718511051
3;60;680;0.051162115804722776
3;61;554;0.012460144495756597
3;62;1027;0.0
3;63;441;0.01727404153267614
3;64;645;0.0
3;65;439;0.015720103089811754
3;66;572;0.017706586326376873
3;67;1126;0.009330853023712333
3;68;632;0.015677558606665476
3;69;498;0.0
3;70;102;0.04749967863244716
3;71;1199;0.02107355512630963
3;72;953;0.006922954679736386
3;73;1124;0.009130631519245348
3;74;255;0.009090810369531407
3;75;585;0.02132770423398472
3;76;437;0.02131478646732547
3;77;541;0.02607069784348327
3;78;310;0.008909556398213586
3;79;1198;0.008359240444793062
3;80;1107;0.020876391473946102
3;81;635;0.0
3;82;647;0.019736295836439165
3;83;374;0.0
3;84;189;0.019764949833192144
3;85;500;0.0
3;86;273;0.012391971032276756
3;87;246;0.020447904884918617
3;88;608;0.008590391271859812
3;89;140;0.020306471985851345
3;90;293;0.026577386715943202
3;91;1117;0.024885208717766266
3;92;404;0.015220208275945394
3;93;765;0.019263147677443096
3;94;309;0.0
3;95;190;0.020159235716930717
3;96;1223;0.008042326801559672
3;97;961;0.020079202744272124
3;98;196;0.008429422141917825
3;99;754;0.019958533425220474
3;100;733;0.03877561769915875
4;1;820;0.0
4;2;711;0.02873839237839588
4;3;924;0.02066654270239598
4;4;568;0.022474540129556474
4;5;725;0.0715776914972286
4;6;497;0.021919173157493053
4;7;1197;0.032542259534967914
4;8;357;0.011766938448382494
4;9;1030;0.0066587046435169425
4;10;439;0.015720103089811754
4;11;856;0.020035752032596516
4;12;1039;0.01451430372322117
4;13;498;0.0
4;14;1192;0.014849181158391189
4;15;1229;0.0
4;16;52;0.02817880433140875
4;17;928;0.027807297980140727
4;18;311;0.02754951877733251
4;19;402;0.07520050688362766
4;20;471;0.02574034342513497
4;21;536;0.028274307311783473
4;22;269;0.02500431909724584
4;23;126;0.012843887810372889
4;24;288;0.02384150906141969
4;25;1228;0.0
4;26;135;0.029388151973991992
4;27;867;0.018791768135648444
4;28;515;0.0
4;29;715;0.009819940428425643
4;30;7;0.00617613647195062
4;31;1064;0.0
4;32;1080;0.0
4;33;710;0.005061059874321761
4;34;955;0.004993591915362751
4;35;496;0.023597406506245963
4;36;614;0.02772035917192147
4;37;1196;0.0
4;38;499;0.023329394045149342
4;39;538;0.020679819329994246
4;40;1145;0.015323527270353859
4;41;1016;0.016211958254704433
4;42;1169;0.07336592645167091
4;43;45;0.0
4;44;8;0.035565468710695915
4;45;347;0.021770718475225236
4;46;187;0.025556975583392875
4;47;406;0.0
4;48;604;0.006233203291367064
